total_rooms,total_bedrooms,population,households,house_value
859,239,913,234,136100
1638,456,1500,430,150000
1747,484,1680,441,155500
2050,429,957,418,210000
104,20,32,17,241700
1425,438,1121,374,200000
2133,689,2104,662,169200
1903,635,1919,613,174300
1866,470,1211,417,189400
1791,660,2183,675,166700
2174,627,1992,557,167800
3142,765,1728,682,189800
2225,827,2699,792,179200
2341,703,2371,648,181700
830,200,701,189,232100
2059,618,2033,544,217900
764,322,1275,306,175000
41,17,87,25,225000
223,80,249,82,137500
4297,1420,4332,1286,192500
719,225,801,218,133300
1081,282,970,263,150000
394,117,573,131,154200
1709,562,2105,503,152100
1241,298,1055,263,115500
1320,309,1405,328,114000
1353,380,1688,367,139600
1765,551,2203,500,159600
986,361,1347,299,133900
2574,807,3163,802,173200
1594,430,1668,378,138200
1807,429,1699,424,126000
2054,423,1205,403,213000
3672,808,3062,764,153000
1287,353,1171,345,138500
1561,445,1780,391,144200
1822,498,1961,506,159200
1504,477,2059,498,145800
839,250,1079,245,158300
1077,300,1198,274,160200
1770,,1848,439,167200
1346,383,1452,371,191700
1453,404,1486,389,153100
902,318,1312,323,168800
1478,413,1580,394,147500
3334,920,2881,800,170800
2514,595,2484,601,142500
299,89,318,92,145800
1327,271,1069,284,153800
2744,708,2747,674,148800
1688,426,1605,384,184900
2090,530,2043,537,144200
1907,398,921,369,200400
1940,445,763,412,166700
2529,689,1215,577,153100
1116,267,435,235,230900
2226,602,2230,549,129300
1554,381,1487,374,139500
2965,665,2128,650,166300
1555,337,1152,348,169600
1734,364,1133,351,163100
1515,415,1345,346,175000
1568,302,1093,333,162100
3066,797,3097,780,156500
2907,797,3212,793,146600
1318,311,1164,289,135500
1369,408,1475,377,151900
1523,378,1338,352,144600
787,181,731,179,158500
851,231,936,228,147500
2616,630,2218,621,156000
2150,544,1510,467,150000
247,55,925,50,135700
1155,225,814,241,148500
2025,565,2189,577,148600
555,159,748,163,137500
2324,658,3020,594,93800
453,119,533,132,112500
1181,335,1441,337,111800
762,204,728,174,137500
1051,302,1435,305,133600
2672,675,2883,674,142800
349,79,276,64,125000
321,101,401,86,109400
511,153,1152,149,156800
48,6,41,10,112500
1243,470,1668,444,137500
470,115,434,123,109100
1083,364,1132,338,153100
1113,,928,290,155000
1422,478,1640,434,157100
745,258,694,236,129200
1079,306,1358,285,131900
950,357,1485,345,136400
2146,607,2868,625,144000
1165,317,1279,303,141700
1146,323,1354,321,121900
1082,318,1085,273,117200
1703,586,2490,581,147200
1268,398,1887,407,150000
977,266,1084,259,127900
1098,264,1178,245,124300
1407,401,1526,385,121800
963,234,1194,239,134900
1095,305,1322,281,150000
1053,246,1036,249,136700
1183,246,851,231,142600
1249,307,1223,297,136300
1894,408,1629,379,127600
1754,452,1849,445,122800
1399,386,1419,373,143800
1625,490,2003,478,147200
1582,544,1998,515,125000
796,227,547,218,135400
1825,479,2097,480,135300
845,249,881,252,165000
1325,393,1557,352,148400
1841,809,3199,727,151600
846,271,1153,281,155000
1153,411,1667,409,139300
722,235,930,226,114300
798,308,1417,325,141700
1105,346,1598,372,115600
2343,803,2468,707,115000
1502,477,1844,477,152500
1306,391,1499,346,139600
554,214,888,218,139600
1860,472,1893,456,141800
1550,407,1718,403,141100
497,132,547,121,146300
876,228,872,231,145000
1292,334,1150,322,135200
1098,317,1411,301,146000
774,209,813,203,135200
1583,392,1776,377,140800
583,157,730,174,140600
792,203,872,188,129700
2702,770,3260,721,144800
2230,593,2419,598,130700
36,9,35,9,175000
498,120,548,119,126600
22,7,55,7,67500
1811,513,2123,487,133300
346,270,346,251,225000
1703,697,1823,669,181300
116,107,171,92,112500
390,199,435,193,350000
1204,552,1074,517,87500
2870,1021,3325,978,162500
2806,1944,2232,1605,350000
3105,1256,1086,997,275000
4011,1438,1673,1088,287500
58,52,41,27,500001
1529,566,1051,473,162500
174,66,249,57,312500
326,123,490,105,175000
637,273,1150,263,131300
1802,613,2382,587,185900
680,273,995,249,165600
929,238,763,214,187500
715,282,1174,300,225000
2541,1282,3974,1189,87500
1175,428,1593,407,213300
1771,788,2188,764,154200
786,341,1239,320,152100
1657,579,2071,598,152500
1416,686,2013,614,208300
1177,468,1533,430,183300
1072,331,1111,314,207100
3247,1281,2642,1182,216700
1924,926,2226,792,265900
1777,536,1684,489,190000
7522,3179,7221,2902,177500
1787,853,2251,763,400000
2518,1196,3051,1000,175000
2124,1168,3915,1137,137500
1714,1176,3723,1036,112500
564,353,1172,319,187500
513,338,1204,321,275000
1950,1047,3707,1012,110000
350,245,1122,248,137500
1292,864,2081,724,275000
1261,616,2309,581,225000
936,454,990,354,187500
2472,,3795,1179,162500
1316,836,2796,784,325000
1164,674,1685,541,225000
1306,637,2079,598,275000
1525,730,2510,652,162500
1788,774,2931,702,158900
1075,597,2260,614,162500
968,384,1805,375,212500
661,359,1406,307,112500
1784,,2158,682,118100
323,214,751,189,225000
535,328,1194,365,275000
2156,306,861,311,500001
1841,240,693,218,500001
2248,255,813,265,500001
1482,171,531,161,500001
2089,309,883,281,500001
1311,310,707,290,432800
649,315,987,329,316700
3013,1118,2465,1008,290600
1554,815,1704,761,141700
492,269,634,261,300000
2302,1124,2660,1004,253100
3056,1345,3920,1304,300000
1489,664,1793,556,230600
5677,2610,7443,2406,237500
2107,757,2660,740,282300
2657,738,2274,723,281700
2362,949,2759,894,305600
2549,630,1539,594,350900
2657,794,2149,749,445000
2980,366,967,359,500001
369,147,145,136,450000
983,246,578,204,500001
2740,707,1420,664,404500
955,100,457,120,500001
5062,2055,4533,1822,166700
3110,1269,2535,1218,412500
3759,,3296,1462,175000
3264,1248,2919,1191,500001
1782,896,1749,823,75000
2470,1197,2326,1055,325000
4021,1707,3727,1529,112500
5221,2530,5840,2374,300000
1366,740,942,672,150000
3894,2293,6846,2156,70000
2456,1111,4137,1104,187500
1759,1012,2716,877,350000
1390,872,2860,827,137500
2040,778,2235,697,233300
2437,1283,3906,1084,270000
3960,1490,3468,1335,475000
2512,1203,3720,1118,322200
1336,453,1268,426,500001
3038,1533,4225,1472,187500
1848,667,1351,589,410000
2124,756,1920,756,328900
2827,1084,3107,993,360000
1559,646,1639,567,380000
3292,713,2224,674,291500
2808,584,1654,569,436800
3239,722,1383,612,337000
1368,231,737,248,433800
2405,527,1868,502,257800
1574,390,1323,404,226300
1707,519,1446,466,171300
1389,364,976,302,327300
3343,1183,3480,1146,250000
1692,423,1578,406,305800
1667,365,1161,384,417600
1612,650,2028,593,115600
1476,610,1605,545,214300
443,223,582,223,350000
1386,457,1845,485,157700
1744,720,2034,633,193800
1417,589,1615,540,193800
1102,,1325,439,168800
1723,569,1664,501,161100
1453,588,1987,589,187500
3585,1661,5229,1534,250000
677,370,1143,341,350000
2818,1252,4126,1200,229200
1801,313,714,293,479000
2497,406,1030,412,500001
2315,356,894,345,500001
2066,319,981,297,450000
1421,163,495,167,500001
1721,195,688,196,500001
1621,284,588,272,500001
3421,598,1203,564,500001
2756,542,971,510,500001
2877,721,1186,704,175000
2373,601,1135,576,225000
1902,488,848,478,175000
890,255,434,232,450000
7803,2154,3359,2041,287500
1651,410,512,397,350000
3312,880,1157,809,500001
1821,447,777,441,355200
1740,360,748,357,411100
2519,,1117,516,405600
2046,451,944,435,456900
2203,437,899,384,486900
2195,435,884,432,486400
2703,663,1045,619,287500
2309,526,870,546,453400
1084,247,468,255,474300
4625,1307,1739,1191,485000
4814,1381,1897,1209,375000
3653,956,1510,890,500001
3175,1057,1594,997,225000
3446,1360,1768,1245,500001
1314,170,629,214,500001
2530,458,1122,449,321600
2069,417,826,377,396000
1482,336,768,300,327300
2837,602,1164,551,250000
1354,279,716,309,385000
1368,322,617,303,440900
2880,836,1416,736,328800
3551,826,1601,827,400000
2810,670,1109,624,355000
2130,455,921,395,500001
843,160,333,151,446000
1608,289,630,252,500001
2522,616,991,574,362500
3946,1008,1676,876,450000
4345,1158,1987,1070,310000
2558,661,1183,636,500000
2457,552,1159,523,345300
1197,231,671,219,278500
1266,234,539,222,275000
2369,544,1252,522,296100
2239,423,832,411,470000
2346,437,1121,400,444300
1563,306,776,308,440900
2402,506,878,464,500001
1825,404,728,363,322600
1424,300,632,278,295200
1835,380,956,370,243600
995,184,462,194,242000
1879,395,946,409,254700
3518,812,1724,758,338100
2053,480,900,417,417900
1621,314,724,311,474100
1004,231,590,226,351000
1241,210,526,214,334100
702,,458,187,333600
2352,598,1133,563,287500
3517,879,1632,784,500001
2815,679,1533,594,234100
1856,493,1374,469,158000
1372,,674,271,202100
2283,,1093,475,252000
2149,451,905,443,290800
2009,419,1130,402,213500
975,292,723,285,140600
1971,414,1065,409,195800
2194,504,997,438,259400
2965,812,2638,794,172700
1294,330,1140,313,165000
1184,328,953,311,156300
1090,251,955,239,192500
3015,795,2300,725,268500
2545,401,1004,372,420000
2099,472,1369,465,167100
2345,607,2042,565,139700
2064,662,2140,617,127100
1466,529,1835,500,123200
1956,601,1672,546,150700
1104,266,668,297,151600
1579,357,713,335,179200
1769,429,993,405,139400
1767,417,1052,379,157000
1626,375,1019,372,146800
1690,379,1017,359,133500
1236,,966,292,122200
3239,806,2331,765,125800
1617,423,1110,375,169400
865,208,537,183,110900
1839,459,1312,460,138000
1681,360,987,337,171400
1426,331,784,356,118800
2010,494,1203,427,134600
1438,333,794,306,138100
1806,444,1161,393,161500
2314,624,1714,582,183900
2437,443,1400,426,251100
1989,532,1430,519,151100
1766,404,1117,367,168800
1008,223,544,223,176800
3189,935,2221,801,114000
2840,826,1911,688,137500
1082,198,455,193,223200
1845,349,1109,335,127800
1734,453,1272,438,121500
2511,587,1660,546,127100
2010,460,1355,433,133400
1648,346,1120,338,114200
1667,399,928,375,118200
1528,391,933,366,125700
2312,625,1552,603,125000
1614,320,684,318,181000
2067,385,1046,441,156900
2334,530,1334,447,124000
2122,524,1510,436,123300
427,92,233,116,134700
2043,512,1634,501,125400
1083,342,1023,295,143800
2323,661,1847,614,113500
1400,376,1139,315,120000
1819,499,1666,482,125900
2365,638,2259,607,120700
1350,287,811,307,140900
2437,502,1151,477,134100
1609,371,896,389,136600
1172,261,685,260,130300
1295,276,765,265,130200
1927,561,1349,508,125000
1356,333,796,329,189700
1425,285,838,296,188400
1944,458,981,377,193200
1627,838,3013,791,152500
1155,433,1857,424,153400
659,291,1224,290,132500
907,349,1426,323,143800
1353,488,1945,487,123700
1757,522,2080,488,180000
1005,314,1227,306,162500
993,506,1765,464,121900
1864,515,1768,439,190600
2007,571,1513,554,229200
1809,640,2543,640,500000
2691,726,2390,681,208300
2038,578,2070,570,214600
2438,867,2114,753,150000
2206,501,1194,435,227800
1277,285,954,334,234600
2092,585,1757,538,175000
1470,399,1579,390,150000
2338,686,2376,630,170300
1941,579,2049,535,143000
1653,426,1868,393,162500
1090,345,1605,330,152800
700,299,1272,298,128100
432,182,702,186,125000
1680,557,2099,526,136400
943,289,953,238,151600
907,378,822,288,179200
3544,1384,3323,1213,258300
1501,437,1777,441,135200
3313,1235,2381,1063,168800
1084,287,1085,279,119600
2173,510,1343,476,135500
1902,406,1233,385,132200
1173,284,814,295,111400
1555,324,931,265,105800
1423,278,822,276,98100
1832,441,1186,420,98400
2241,559,1775,504,147900
1695,374,1138,357,150000
1315,,785,245,138400
2781,766,2586,729,187500
2041,517,1479,495,156600
1703,397,1333,361,127100
1976,469,1409,431,112100
2120,483,1522,416,116800
1641,491,1526,453,141300
3184,772,2474,705,137500
1933,478,1522,423,119300
515,229,2690,217,500001
395,232,948,243,175000
1280,422,1560,381,125000
460,241,890,229,162500
1283,545,1932,516,160200
1582,780,2390,719,200000
1193,454,1880,453,180000
1273,474,1754,460,275000
1933,791,3121,719,147500
2118,796,2195,658,164600
1521,513,1772,458,162500
2004,633,3050,621,127300
281,103,470,96,38800
561,284,662,205,187500
2107,809,2821,572,350000
1407,550,1193,472,225000
180,89,356,76,158300
142,47,137,45,312500
299,90,287,68,100000
1274,418,1655,368,124000
1375,448,1698,432,130700
980,285,1308,310,123100
1091,349,1786,340,136500
1259,362,1499,327,126400
1551,501,2173,474,117700
1465,440,1859,400,96200
1249,357,1607,331,114800
848,323,1428,313,109600
698,232,1046,228,119500
1368,486,2239,461,114300
1676,525,2564,515,100800
481,136,596,128,90300
1311,410,1792,396,119900
542,150,571,114,90600
396,99,485,110,107500
1456,444,2098,433,99200
1301,403,1952,377,100800
405,86,376,68,127500
782,270,1030,235,93400
879,262,1034,236,99300
1429,386,1412,354,107200
1575,475,1980,469,100500
962,291,1280,263,110200
697,208,749,206,118800
1269,323,1628,325,115800
2451,668,2824,598,99600
990,289,1167,281,126800
879,253,1010,221,118300
1314,375,1505,366,97200
1193,355,1784,341,116100
1672,556,2106,519,129200
921,264,881,221,114100
1235,385,1745,372,113300
1748,428,1707,409,103800
1869,461,1834,441,107400
780,237,888,215,95800
2179,682,2624,609,108200
1733,492,1776,453,104200
1033,267,1112,229,105800
1176,309,1267,292,105000
1218,342,1292,304,102900
1768,475,1721,474,90400
1905,552,2194,521,95800
588,157,716,173,87500
863,206,788,187,95000
1419,363,1696,317,101300
1715,414,1714,389,108200
448,116,504,96,98600
1425,372,1803,353,88200
2261,574,2496,527,98500
1274,319,1362,324,107900
1611,479,1457,458,91900
2615,697,2484,630,103400
2099,599,2311,529,101500
1638,434,1213,390,110800
1258,381,1276,358,106900
1865,465,1916,438,95000
2016,505,1807,464,103500
504,140,529,123,100000
932,294,1153,282,100000
1407,447,1783,402,97100
441,167,621,144,162500
1098,426,1510,374,156300
885,312,799,221,143800
4217,1095,3298,949,122300
2190,626,1768,528,103800
2001,582,2044,557,118800
2386,670,2327,661,108000
1147,290,818,281,111700
1463,354,912,293,109400
1046,216,727,201,116900
2255,533,1568,470,115200
2073,566,1246,547,117100
2217,489,1227,448,108800
2544,532,1357,498,121000
2547,475,1417,444,123200
1793,350,1303,366,123700
814,223,511,188,123200
2238,673,2247,583,125000
1743,421,1206,384,116000
1908,428,1271,394,136200
1444,343,1154,334,134400
2305,775,2450,740,132000
1650,463,1992,458,114100
1487,468,1509,403,112500
751,207,1010,231,137500
1385,518,1730,472,142500
2601,794,3080,770,122900
713,245,880,237,103600
795,308,1118,275,131300
483,190,775,188,126600
3335,921,3612,887,118800
1534,417,1295,380,119200
855,284,890,247,112500
2636,725,2182,651,124000
1514,376,1353,344,96100
1753,387,1165,380,105800
1807,493,1731,471,111700
1319,295,898,271,128600
1131,281,859,230,134600
1420,355,1080,353,116100
2579,494,1558,458,109600
1686,377,982,356,116400
1296,246,853,238,111600
1542,309,939,276,129100
1718,354,1026,312,128000
1630,379,1413,405,120000
2709,642,1751,613,122500
1551,362,1329,322,116400
2235,433,1363,433,101400
1525,359,982,333,126600
1489,339,791,316,104800
1703,358,789,249,100000
2608,636,1766,596,114800
2637,588,1903,521,96500
2212,533,1903,554,101100
2577,703,2446,687,98300
2198,530,2067,497,103400
1283,342,1363,329,101900
2174,481,1861,484,95000
1211,321,1153,282,99300
3104,645,1498,581,128000
1655,256,672,260,194300
1949,308,823,340,189700
1842,377,817,341,157700
1745,371,1079,368,123400
2223,361,968,373,182600
1320,259,653,291,193000
2043,378,869,416,181100
4032,913,1622,848,165800
2227,564,956,472,187500
1762,463,786,445,188500
2182,492,878,493,181300
3250,693,2300,675,112600
2189,460,1097,469,120900
1671,388,895,317,121500
825,187,416,173,133300
873,320,529,308,151600
2028,479,1074,394,98700
1407,269,889,283,114200
1918,387,1041,364,126500
1582,315,777,286,149600
2009,335,919,297,170500
1260,284,791,280,115200
1257,232,735,232,108900
2224,550,1598,545,122500
1217,322,662,305,140300
949,210,574,217,114700
1298,277,791,255,104300
1528,331,864,308,101000
1611,339,921,314,103300
3889,1199,3121,1046,113900
1784,489,1472,476,108900
3063,796,2153,721,149100
2225,433,1170,401,140400
2126,409,1292,414,149000
2183,380,927,371,180100
2512,461,1082,426,207600
397,132,250,121,166700
1448,314,861,310,108600
1778,320,795,279,138800
1412,333,901,328,118600
3112,931,2739,841,118500
2526,579,1423,573,158800
1830,369,922,377,156400
3745,798,1502,808,195800
3140,466,1214,464,350400
2263,430,900,382,246800
1893,450,819,426,140600
1249,313,625,336,170500
1359,359,655,341,312500
4291,1102,1941,953,106300
2318,735,1407,702,266700
1527,246,608,245,187800
3978,1073,2725,1035,167900
5218,1576,3538,1371,118800
3358,1069,2415,956,87500
3246,601,1585,603,353200
3776,,1583,749,332100
3085,621,1162,558,301000
1138,304,1128,311,100000
1971,513,1673,464,103000
979,235,857,236,108900
1582,416,1422,370,108300
1902,398,1153,363,112900
1458,326,1159,283,98200
1534,384,1231,329,94500
1597,388,902,321,93300
1701,452,1484,427,91400
222,54,234,77,111700
857,196,694,228,108000
1837,426,1062,343,96500
1607,331,900,295,96600
1985,454,1090,410,106600
1975,379,1043,371,112200
1993,446,1052,394,119800
2261,555,1348,455,97200
1124,231,783,223,93100
1371,315,986,277,94000
2010,445,1208,404,95800
1998,410,1176,382,102400
1242,270,811,274,95200
2833,768,2542,725,100000
1118,300,786,254,110000
1306,345,1332,331,92200
865,193,782,217,93000
1720,416,1382,365,92300
883,313,726,277,121400
1162,318,1207,289,100000
1068,271,1091,281,102600
2017,566,2063,521,107000
2305,634,1978,568,100000
2660,672,2133,588,107300
1425,317,1140,304,98500
1521,289,1074,285,99800
944,200,567,190,124100
2270,451,1000,412,119400
1595,325,823,302,124200
2066,422,1156,380,125800
1629,277,819,288,142600
1541,314,819,312,136100
1353,286,751,250,131700
1843,326,892,314,120000
1823,358,1065,342,131000
1558,333,1095,316,133500
2490,430,1305,411,149600
2104,393,1132,394,142000
2118,569,1266,500,121000
2149,493,1316,462,131800
1686,303,870,320,136300
2015,356,1020,338,138700
3139,587,1319,506,134200
1717,417,902,368,113200
2009,442,1095,439,109500
2802,618,1524,529,136300
1175,340,1241,352,98400
2074,562,1913,514,102100
2771,802,2782,715,99000
4022,1208,3707,1007,116300
2112,417,1161,368,117400
2523,460,1167,413,127400
1586,322,1077,339,140400
2005,392,1134,415,140300
1702,443,1966,442,97500
1966,584,2028,535,101500
1454,323,1098,297,104000
656,162,730,170,101800
1240,312,1100,311,97500
1696,424,1502,429,99200
2062,588,1933,570,97000
1722,457,2177,401,92500
762,206,854,188,98200
1295,351,1120,323,98200
1246,308,1031,295,96300
1521,352,1100,334,100600
1086,249,880,250,95700
1546,371,1186,366,96800
2180,642,2464,631,90100
2569,688,2601,630,101400
1819,497,2110,499,97300
977,295,1073,292,86400
796,203,697,177,92600
1812,500,1640,447,99100
1504,374,1168,358,94200
1475,347,1222,298,95300
1255,323,902,327,94000
1331,346,1144,362,90600
1462,394,1310,351,90100
1126,270,999,265,91700
1040,276,1083,255,90900
1529,358,1154,357,97900
1387,346,1240,355,95100
1513,369,1088,344,94400
1542,375,1256,361,100000
1625,383,1243,350,89800
1604,399,1581,387,96700
2044,538,2150,524,94800
1206,304,1167,250,101300
882,221,697,189,99100
1983,611,2048,600,91400
1401,362,1357,327,99300
721,205,842,208,89700
1340,409,1463,367,111400
2808,695,2357,627,102300
1701,428,1468,411,93200
1201,292,840,252,105600
1089,278,995,315,107700
2073,494,1753,490,93600
1156,291,1074,299,94900
1041,275,877,270,91600
637,204,679,162,89700
835,208,707,192,86200
935,226,818,236,101300
987,248,902,221,98000
1261,315,1027,303,88800
1579,351,1056,322,98500
1405,326,1086,273,89800
1080,218,850,237,93400
1771,378,1296,399,96700
1481,329,999,315,94600
1103,265,760,247,99600
1002,270,1092,273,94500
1510,410,1408,389,94200
1314,318,1080,285,89800
795,181,716,167,90300
1562,403,1587,406,93200
570,135,466,121,91300
721,165,661,171,92400
973,221,842,178,94900
1467,369,1247,347,92700
1102,247,702,225,95400
1433,295,775,293,104800
657,147,526,132,110200
1076,244,705,255,98900
1465,346,1147,324,88800
1309,344,1182,340,88700
1764,397,1406,362,93100
2078,561,1901,504,96900
847,278,1283,277,94100
1381,375,1268,354,94200
456,130,438,114,81300
1631,338,1197,355,100000
1898,460,1503,429,97400
2021,379,1051,352,129900
1782,338,1003,329,105700
936,257,913,226,122600
1935,461,1616,433,120200
896,198,605,168,128100
2073,500,1657,470,88400
1274,282,975,277,90400
269,74,295,79,90600
529,112,448,120,90600
117,33,74,45,90600
1463,312,940,312,99800
1113,378,1305,334,91300
793,,736,231,90400
2667,671,2865,683,87500
1193,280,1210,286,89500
649,147,653,147,97500
2316,543,1938,507,97400
1260,342,1167,310,107600
2136,,1799,476,95700
441,125,390,98,90200
764,200,801,220,100000
975,270,1068,270,87500
2452,734,2664,667,100000
819,233,899,228,85400
869,241,1040,233,84200
796,180,673,144,88300
1027,258,824,248,86300
779,201,861,219,89800
380,106,411,100,90000
1215,273,1211,265,95500
1141,258,1313,234,90100
1090,267,1339,263,97600
1110,,1417,302,92100
940,211,1071,204,92000
501,123,487,118,87000
2065,532,2015,535,104900
1063,282,992,253,88700
6447,1012,2184,960,500001
5578,753,1567,697,500001
2089,303,654,270,500001
10806,1440,3511,1352,500001
1613,200,497,197,500001
10722,1617,3731,1511,500001
3129,392,862,334,500001
778,90,238,93,500001
1500,176,384,145,500001
6675,842,2092,796,500001
3247,525,1065,484,500001
8041,1141,2768,1106,500001
6603,879,2336,868,500001
4767,777,1500,638,500001
3351,484,1564,523,500001
4042,549,1318,542,500001
2861,360,829,310,500001
2929,366,1054,352,500001
9013,1117,2919,1061,500001
1487,163,414,160,500001
5477,833,1925,757,500001
1814,325,709,311,500001
1985,315,819,340,500001
7970,1142,2926,1096,500001
6778,1092,2540,1052,500001
1482,239,617,242,500001
2095,343,662,299,500001
2332,349,761,325,500001
3755,525,1493,526,500001
9075,1858,3646,1724,500001
993,130,368,134,500001
2167,254,761,256,500001
1711,264,735,261,500001
4350,763,1551,665,500001
4152,542,1461,550,500001
2603,456,928,410,500001
4715,691,1660,637,500001
1271,190,419,171,500001
3030,433,916,399,500001
3623,528,1282,516,500001
1918,216,632,224,500001
6577,1789,2937,1652,500001
5448,1532,2202,1442,500001
2689,719,1229,663,500001
4077,1151,1719,1017,337500
3639,1002,1489,983,387500
5215,1193,2048,1121,500001
4401,1033,1725,962,500001
2143,434,751,396,500001
1346,214,415,209,500001
1399,148,410,152,500001
3203,483,949,439,500001
3251,656,1251,593,500001
3535,748,1322,666,500001
1973,332,1257,296,500001
3910,959,1763,867,500001
730,263,965,224,350000
520,292,282,213,500001
4284,1452,3806,1252,350000
4845,1609,3751,1539,350000
3367,1264,2667,1131,500000
1302,215,482,226,500001
2511,456,808,407,500001
2418,301,850,318,500001
2564,460,913,414,500001
5102,1695,2609,1450,500001
4780,1192,1886,1036,500001
1880,435,798,417,500000
5368,1312,2269,1232,316700
3184,641,911,463,500001
1463,267,601,267,500001
4251,1073,1581,881,500001
4833,1119,1649,807,500001
2933,565,1077,536,500001
1317,284,523,274,500001
2982,664,1122,572,500001
4600,1018,1675,932,500001
533,90,291,97,500001
1881,334,640,321,500001
4888,1126,1698,937,500001
1693,290,727,305,500001
3832,949,1613,893,477300
5943,1538,2492,1429,305000
3970,871,1588,791,500001
2425,435,962,412,494700
801,399,936,406,181300
3319,1045,1848,940,283300
3771,1321,2031,1241,277500
6902,2138,3136,1844,410000
4099,1287,2103,1217,275000
3522,1036,1820,977,337500
5041,1491,2719,1420,268800
3330,1010,1837,915,393800
2142,718,1390,699,325000
2768,850,1558,784,360000
2729,897,1404,758,420800
2621,707,1632,673,348100
2819,648,1435,593,360200
727,168,520,175,300000
1657,402,931,363,336300
32,7,14,7,225000
18,6,3,4,350000
2670,662,1535,631,347800
1782,308,735,307,485100
1508,276,639,273,409800
2725,569,1115,516,427500
9728,2211,3026,1899,500001
2921,652,1124,608,500001
2533,402,981,386,500001
4473,923,1518,805,500001
2079,268,720,282,500001
1298,174,420,190,500001
1831,296,871,269,500001
1730,386,994,363,500001
601,95,228,106,500001
2458,576,1047,554,412500
3105,559,1253,531,500001
2113,459,859,432,500001
2814,701,1139,658,460000
1907,261,681,249,500001
2113,332,800,327,500001
3053,635,1234,577,500001
1975,348,771,357,500001
1358,272,574,267,500001
2089,312,834,305,500001
1873,286,635,283,461300
3863,537,1398,511,500001
1028,145,394,149,500001
1467,203,577,204,500001
2237,592,1794,543,207700
2846,727,2120,672,254200
767,130,254,118,340400
3005,771,2054,758,309100
2614,569,1665,553,271600
101,23,85,30,237500
1492,277,666,289,340400
1230,279,669,269,308300
1722,536,1161,481,232500
3442,1050,1890,914,319400
1101,318,491,287,319400
1006,201,520,199,372800
4376,1394,2435,1250,327300
7297,2331,3870,2144,300000
515,201,397,228,184400
3711,1192,1764,1147,366700
2610,756,1322,692,281300
5825,1866,3390,1752,320000
1450,509,746,437,55000
6152,1978,3397,1845,275000
2101,569,1756,527,222100
1366,375,1237,370,230900
888,170,514,161,202800
1809,424,1094,382,143000
912,255,705,246,185700
542,161,442,131,333300
1465,278,727,290,289400
1262,223,637,221,427300
1740,311,788,306,373600
1733,429,855,387,340800
1706,516,894,435,372700
904,176,358,158,344200
2059,659,1349,588,352400
1552,388,867,352,346700
1193,205,488,224,357600
975,189,489,202,331000
1039,303,606,274,343800
1240,320,711,304,318100
2083,528,993,481,353900
1164,265,561,251,350900
1592,308,783,321,386000
1408,246,651,240,400000
1309,221,534,228,418800
1328,250,626,228,440100
1361,240,559,229,354300
2424,418,1123,417,405800
2242,490,921,461,500001
1487,242,675,247,489800
3278,632,1321,617,465700
2172,437,830,368,500001
1528,244,634,242,500001
2403,516,1001,514,500001
629,131,326,156,374300
4374,1311,2165,1185,463600
3244,815,1423,781,340800
2243,444,973,413,414100
3167,737,1248,665,394700
2995,942,2626,947,450000
1430,357,805,362,307000
3292,1134,1655,898,348800
2664,842,1745,789,301900
1728,442,1161,420,310000
4702,1472,2636,1334,225000
2224,618,1594,625,315500
2731,535,1280,510,420100
1300,356,703,311,394000
3133,1021,2242,1002,412500
1527,279,746,285,446600
2526,528,1046,504,500001
2061,396,907,393,420000
1462,338,821,341,362200
1798,353,835,314,355800
1909,359,867,345,334700
1287,346,806,311,321300
2148,597,1341,559,324000
5822,1707,3335,1585,243100
1562,377,874,368,324300
1594,369,952,362,335400
1996,489,960,449,344200
1930,456,1002,410,458600
6128,1963,3586,1815,310900
513,98,266,103,343100
4098,1100,2054,1053,345600
388,83,248,84,326700
1392,260,679,247,346900
711,148,347,153,297200
1235,390,891,376,287500
2331,636,1839,537,263500
614,174,538,159,235700
1875,501,1491,526,321400
2586,765,1801,737,305800
1312,376,1178,330,300000
1146,310,833,270,285000
854,235,645,198,239300
1901,679,865,587,425000
2219,686,1107,590,387500
1568,501,764,478,414300
1523,447,636,408,412500
2167,622,1095,570,358700
2155,721,1082,637,267500
1438,454,665,416,500001
709,329,388,313,350000
1010,244,573,242,363200
1158,253,528,253,334700
1122,287,531,256,335900
941,230,493,206,325800
888,206,376,194,372000
1777,362,896,334,348300
1606,408,862,354,345800
1923,408,1142,433,326700
3125,785,1720,713,325000
1829,472,779,424,339000
885,285,562,268,303800
1828,460,1075,453,360600
2388,591,1009,556,466700
1214,300,478,265,500001
2217,520,806,458,500001
2737,808,1157,696,500001
1132,269,654,264,343100
1919,405,953,371,420800
2520,726,964,663,500001
1658,427,648,378,500001
9430,2473,3408,2003,500001
2461,521,777,447,500001
895,181,237,149,500001
1526,339,705,268,321800
684,161,381,159,272000
3550,934,3738,880,271200
1307,441,884,456,276300
3771,1180,2355,978,287500
1701,482,1428,494,284600
2243,495,1135,465,324000
8324,1590,2927,1538,351700
1899,461,1260,415,320000
2483,548,1212,493,302900
5548,1245,2847,1229,366900
475,155,236,153,450000
2558,558,1328,541,301300
1432,308,782,303,303900
3014,822,3212,777,215000
740,171,599,194,248900
1724,419,1079,394,263800
1062,305,1026,307,265500
1089,234,632,215,276100
1613,380,1113,356,276700
3331,777,1695,735,307200
